,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
0,758323,The Pope's Exorcist,2023-04-05,"['Horror', 'Mystery', 'Thriller']",English,7.4,619,5089.969,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",18000000,"['Screen Gems', '2.0 Entertainment', 'Jesus & Mary', 'Worldwide Katz', 'Loyola Productions', 'FFILME.RO']",65675816,103,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.",2023,04
1,640146,Ant-Man and the Wasp: Quantumania,2023-02-15,"['Action', 'Adventure', 'Science Fiction']",English,6.6,2294,4665.438,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",200000000,"['Marvel Studios', 'Kevin Feige Productions']",464566092,125,Witness the beginning of a new dynasty.,2023,02
4,594767,Shazam! Fury of the Gods,2023-03-15,"['Action', 'Comedy', 'Fantasy', 'Adventure']",English,6.8,1510,2702.593,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",125000000,"['New Line Cinema', 'The Safran Company', 'DC Films', 'Warner Bros. Pictures']",133437105,130,Oh. My. Gods.,2023,03
5,76600,Avatar: The Way of Water,2022-12-14,"['Science Fiction', 'Adventure', 'Action']",English,7.7,7853,2280.912,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",460000000,"['20th Century Studios', 'Lightstorm Entertainment']",2319331580,192,Return to Pandora.,2022,12
6,447365,Guardians of the Galaxy Volume 3,2023-05-03,"['Science Fiction', 'Adventure', 'Action']",English,8.3,683,2520.308,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",250000000,"['Marvel Studios', 'Kevin Feige Productions']",289312702,150,Once more with feeling.,2023,05
7,934433,Scream VI,2023-03-08,"['Horror', 'Mystery', 'Thriller']",English,7.3,1029,1862.283,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",35000000,"['Radio Silence', 'Project X Entertainment', 'Spyglass Media Group', 'Paramount']",168541093,123,New York. New rules.,2023,03
8,677179,Creed III,2023-03-01,"['Drama', 'Action']",English,7.3,1298,1894.044,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter who has nothing to lose.",75000000,"['Metro-Goldwyn-Mayer', 'Proximity Media', 'Balboa Productions', 'Outlier Society Productions', 'Chartoff-Winkler Productions']",269000000,116,You can't run from your past.,2023,03
9,493529,Dungeons & Dragons: Honor Among Thieves,2023-03-23,"['Adventure', 'Fantasy', 'Comedy']",English,7.5,964,1655.052,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",151000000,"['Entertainment One', 'Paramount', 'Allspark Pictures', 'Sierra/Affinity']",202484920,134,No experience necessary.,2023,03
12,603692,John Wick: Chapter 4,2023-03-22,"['Action', 'Thriller', 'Crime']",English,7.9,1340,1170.178,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",90000000,"['Thunder Road', '87Eleven', 'Summit Entertainment', 'Studio Babelsberg', 'Lionsgate']",406056266,170,No way back. One way out.,2023,03
13,713704,Evil Dead Rise,2023-04-12,['Horror'],English,7.0,399,1107.559,Two sisters find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,15000000,"['New Line Cinema', 'Ghost House Pictures', 'Renaissance Pictures', 'Pacific Renaissance Pictures', 'Wild Atlantic Pictures']",92071490,96,Mommy loves you to death.,2023,04
14,804150,Cocaine Bear,2023-02-22,"['Thriller', 'Comedy', 'Crime']",English,6.4,976,801.263,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",32500000,"['Universal Pictures', 'Brownstone Productions', 'Lord Miller Productions']",89020092,96,Get in line.,2023,02
15,315162,Puss in Boots: The Last Wish,2022-12-07,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Comedy', 'Drama']",English,8.3,5453,1025.915,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",90000000,"['DreamWorks Animation', 'Universal Pictures']",480000000,103,Say hola to his little friends.,2022,12
20,700391,65,2023-03-02,"['Science Fiction', 'Adventure', 'Thriller']",English,6.3,958,717.792,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth must fend off dinosaurs and reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",45000000,"['Raimi Productions', 'Beck/Woods', 'Bron Studios', 'Columbia Pictures']",55000000,93,"65 million years ago, prehistoric Earth had a visitor.",2023,03
24,505642,Black Panther: Wakanda Forever,2022-11-09,"['Action', 'Adventure', 'Science Fiction']",English,7.3,4741,620.645,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",250000000,['Marvel Studios'],859102154,162,Forever.,2022,11
25,816904,Mummies,2023-01-05,"['Animation', 'Comedy', 'Family', 'Adventure', 'Fantasy']",Spanish,7.2,257,544.413,"Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",12300000,"['Warner Bros. Entertainment España', '4 Cats Pictures', 'Moomios Movie AIE', 'Anangu Grup SL', 'C.O.R.E. Feature Animation', 'Atresmedia']",34200000,88,Discover a new world.,2023,01
29,980078,Winnie the Pooh: Blood and Honey,2023-01-27,"['Horror', 'Thriller']",English,5.7,562,492.522,"Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",100000,"['Jagged Edge Productions', 'ITN Studios']",3200000,84,This ain't no bedtime story.,2023,01
33,436270,Black Adam,2022-10-19,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",English,7.1,4848,538.447,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",200000000,"['New Line Cinema', 'Flynn Picture Company', 'DC Films', 'Seven Bucks Productions']",393252111,124,The world needed a hero. It got Black Adam.,2022,10
34,536554,M3GAN,2022-12-28,"['Science Fiction', 'Horror', 'Comedy']",English,7.4,2543,471.872,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",12000000,"['Atomic Monster', 'Blumhouse Productions', 'Divide / Conquer', 'Universal Pictures']",176830912,102,Friendship has evolved.,2022,12
37,283995,Guardians of the Galaxy Vol. 2,2017-04-19,"['Adventure', 'Action', 'Science Fiction']",English,7.6,19599,492.95,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,200000000,['Marvel Studios'],863756051,137,Obviously.,2017,04
42,631842,Knock at the Cabin,2023-02-01,['Horror'],English,6.4,1401,433.827,"While vacationing at a remote cabin, a young girl and her two fathers are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.",20000000,"['Blinding Edge Pictures', 'Universal Pictures', 'FilmNation Entertainment', 'Wishmore', 'Perfect World Pictures', 'dentsu']",54708659,100,Save your family or save humanity. Make the choice.,2023,02
44,646389,Plane,2023-01-12,"['Action', 'Adventure', 'Thriller']",English,6.9,1173,385.818,"After a heroic job of successfully landing his storm-damaged aircraft in a war zone, a fearless pilot finds himself between the agendas of multiple militias planning to take the plane and its passengers hostage.",25000000,"['MadRiver Pictures', 'di Bonaventura Pictures', 'G-BASE', 'Olive Hill Media', 'Riverstone Pictures']",51000000,107,Survive together or die alone.,2023,01
48,840326,Sisu,2023-01-27,"['War', 'Action']",Finnish,7.1,36,455.546,"Deep in the wilderness of Lapland, Aatami Korpi is searching for gold but after he stumbles upon Nazi patrol, a breathtaking and gold-hungry chase through the destroyed and mined Lapland wilderness begins.",6200000,"['Subzero Film Entertainment', 'Good Chaos', 'Stage 6 Films', 'Lionsgate']",6603810,91,Vengeance is golden.,2023,01
49,676710,The Amazing Maurice,2022-12-16,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",English,7.0,73,322.861,"Maurice is a streetwise ginger cat who comes up with a money-making scam by befriending a group of self-taught talking rats. When Maurice and the rodents meet a bookworm called Malicia, their little con soon goes down the drain.",17000000,"['Ulysses Filmproduktion', 'Cantilever Media', 'Filmförderung Hamburg Schleswig-Holstein', 'MEDIA sub-programme of Creative Europe', 'FFA', 'Narrativia', 'Studio Rakete', 'Squeeze', 'Red Star 3D', 'Viva Films']",3901839,93,A furry tale about me.,2022,12
50,985939,Fall,2022-08-11,['Thriller'],English,7.3,2811,317.741,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",3000000,"['Tea Shop Productions', 'Capstone Pictures', 'BuzzFeed Studios']",16120263,107,Fear reaches new heights.,2022,08
53,649609,Renfield,2023-04-07,"['Horror', 'Comedy', 'Fantasy']",English,7.2,285,325.777,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.",65000000,"['Skybound Entertainment', 'Universal Pictures', 'Giant Wildcat']",23504724,93,Sucks to be him.,2023,04
55,616037,Thor: Love and Thunder,2022-07-06,"['Fantasy', 'Action', 'Comedy']",English,6.6,5898,297.321,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",250000000,"['Marvel Studios', 'Kevin Feige Productions']",760928081,119,The one is not the only.,2022,07
64,361743,Top Gun: Maverick,2022-05-24,"['Action', 'Drama']",English,8.3,6759,277.473,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",170000000,"['Skydance Media', 'Don Simpson/Jerry Bruckheimer Films', 'Paramount']",1488732821,131,Feel the need... The need for speed.,2022,05
68,634649,Spider-Man: No Way Home,2021-12-15,"['Action', 'Adventure', 'Science Fiction']",English,8.0,17295,262.366,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",200000000,"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",1921847111,148,The Multiverse unleashed.,2021,12
74,675353,Sonic the Hedgehog 2,2022-04-08,"['Action', 'Adventure', 'Family', 'Comedy']",English,7.6,3894,233.707,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",110000000,"['Original Film', 'Blur Studio', 'Marza Animation Planet', 'Paramount', 'SEGA']",402656846,122,Welcome to the next level.,2022,04
80,663712,Terrifier 2,2022-10-06,['Horror'],English,6.9,1171,223.727,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",250000,"['Dark Age Cinema', 'Fuzz on the Lens Productions', 'Bloody Disgusting']",12400000,138,Who's laughing now?,2022,10
82,458156,John Wick: Chapter 3 - Parabellum,2019-05-15,"['Action', 'Thriller', 'Crime']",English,7.4,9165,226.51,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",55000000,"['Thunder Road', 'Lionsgate', '87Eleven']",326709727,131,Every action has consequences.,2019,05
83,118340,Guardians of the Galaxy,2014-07-30,"['Action', 'Science Fiction', 'Adventure']",English,7.9,25861,255.418,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",170000000,['Marvel Studios'],772776600,121,All heroes start somewhere.,2014,07
85,507086,Jurassic World Dominion,2022-06-01,"['Adventure', 'Action', 'Science Fiction']",English,6.9,4778,237.086,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.",165000000,"['Amblin Entertainment', 'Universal Pictures']",1001978080,147,The epic conclusion of the Jurassic era.,2022,06
86,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']",Japanese,8.3,3080,256.503,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",15800000,"['ufotable', 'Aniplex', 'Shueisha', 'STUDIO MAUSU', 'TOHO']",503063688,117,"With your blade, bring an end to the nightmare.",2020,10
90,882598,Smile,2022-09-23,"['Horror', 'Mystery', 'Thriller']",English,6.8,1982,204.835,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",17000000,"['Paramount Players', 'Temple Hill Entertainment', 'Paramount']",216135048,115,"Once you see it, it’s too late.",2022,09
91,646385,Scream,2022-01-12,"['Horror', 'Mystery', 'Thriller']",English,6.7,2388,204.722,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",24000000,"['Paramount', 'Project X Entertainment', 'Radio Silence', 'Spyglass Media Group']",140041405,114,It's always someone you know.,2022,01
92,668482,Roald Dahl's Matilda the Musical,2022-11-25,"['Family', 'Comedy', 'Fantasy']",English,6.8,563,208.067,"An extraordinary young girl discovers her superpower and summons the remarkable courage, against all odds, to help others change their stories, whilst also taking charge of her own destiny. Standing up for what's right, she's met with miraculous results.",25000000,"['Working Title Films', 'The Roald Dahl Story Company']",13276499,117,Meet the exception to the rules.,2022,11
95,724495,The Woman King,2022-09-16,"['Action', 'Drama', 'History']",English,7.8,1445,227.376,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",50000000,"['TriStar Pictures', 'JuVee Productions', 'Jack Blue Productions', 'Entertainment One', 'Welle Entertainment']",91000000,135,Her reign begins.,2022,09
106,453395,Doctor Strange in the Multiverse of Madness,2022-05-04,"['Fantasy', 'Action', 'Adventure']",English,7.4,7372,203.873,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",200000000,"['Marvel Studios', 'Kevin Feige Productions']",952224986,126,Enter a new dimension of Strange.,2022,05
107,551271,Medieval,2022-09-08,"['Action', 'Drama', 'History']",English,7.2,374,183.271,The story of 14th century Czech icon and warlord Jan Zizka who defeated armies of the Teutonic Order and the Holy Roman Empire.,23000000,"['JBJ Film', 'Three Brothers Production']",4311284,126,For honor. For justice. For freedom.,2022,09
108,899112,Violent Night,2022-11-30,"['Action', 'Comedy', 'Crime', 'Thriller']",English,7.5,1399,187.063,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus is on the grounds, and he’s about to show why this Nick is no saint.",20000000,"['87North Productions', 'Universal Pictures']",75734910,112,You better watch out.,2022,11
109,324552,John Wick: Chapter 2,2017-02-08,"['Action', 'Thriller', 'Crime']",English,7.3,11464,187.39,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",40000000,"['Thunder Road', '87Eleven', 'Summit Entertainment']",171539887,122,Never stab the devil in the back.,2017,02
110,385128,F9,2021-05-19,"['Action', 'Adventure', 'Crime', 'Thriller']",English,7.2,6228,190.163,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.,200000000,"['Original Film', 'One Race', 'Perfect Storm Entertainment', 'Universal Pictures', 'Roth-Kirschenbaum Films']",726229501,143,Justice is coming.,2021,05
114,414906,The Batman,2022-03-01,"['Crime', 'Mystery', 'Thriller']",English,7.7,7894,193.575,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",185000000,"['6th & Idaho', 'Dylan Clark Productions', 'DC Films', 'Warner Bros. Pictures']",770945583,177,Unmask the truth.,2022,03
119,937278,A Man Called Otto,2022-12-28,"['Comedy', 'Drama']",English,7.9,1129,194.447,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",50000000,"['Playtone', 'SF Studios', '2DUX²', 'Artistic Films', 'Columbia Pictures']",108961677,126,Fall in love with the grumpiest man in America.,2022,12
120,384018,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,"['Action', 'Adventure', 'Comedy']",English,6.9,6308,200.003,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have traded smack talk and body blows. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, they join forces to defeat him.",200000000,"['Chris Morgan Productions', 'Seven Bucks Productions', 'Universal Pictures']",760098996,137,Nothing is stronger than family.,2019,08
123,299536,Avengers: Infinity War,2018-04-25,"['Adventure', 'Action', 'Science Fiction']",English,8.3,26811,205.036,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",300000000,['Marvel Studios'],2046239637,149,An entire universe. Once and for all.,2018,04
130,19995,Avatar,2009-12-15,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",English,7.6,29040,188.103,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",237000000,"['Dune Entertainment', 'Lightstorm Entertainment', '20th Century Fox', 'Ingenious Media']",2923706026,162,Enter the world of Pandora.,2009,12
131,653851,Devotion,2022-11-23,"['War', 'History', 'Drama']",English,7.3,466,179.045,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,90000000,"['Black Label Media', 'STX Entertainment', 'Columbia Pictures', 'Stage 6 Films']",20000000,139,"In America’s forgotten war, they made history.",2022,11
132,438148,Minions: The Rise of Gru,2022-06-29,"['Animation', 'Comedy', 'Family']",English,7.4,2806,161.183,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",85000000,"['Universal Pictures', 'Illumination']",939628210,87,A villain will rise.,2022,06
139,508947,Turning Red,2022-03-10,"['Animation', 'Family', 'Comedy', 'Fantasy']",English,7.5,4150,154.459,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",190000000,"['Walt Disney Pictures', 'Pixar']",18879922,100,Growing up is a beast.,2022,03
141,568124,Encanto,2021-10-13,"['Animation', 'Comedy', 'Family', 'Fantasy']",English,7.6,8169,162.618,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",50000000,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",253000000,102,There's a little magic in all of us ...almost all of us.,2021,10
145,109428,Evil Dead,2013-04-05,['Horror'],English,6.5,4045,198.992,"Five young friends find the mysterious and fiercely powerful Book of the Dead, and unable to resist its temptation, release a violent demon on a bloodthirsty quest to possess them all.",17000000,"['TriStar Pictures', 'FilmDistrict', 'Ghost House Pictures']",97542952,91,The Most Terrifying Film You Will Ever Experience.,2013,04
146,739405,Operation Fortune: Ruse de Guerre,2023-01-04,"['Action', 'Comedy', 'Adventure']",English,6.6,666,169.659,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,50000000,"['Miramax', 'STX Entertainment', 'Toff Guy Films', 'Tencent Pictures', 'AZ Celtic Films']",37846713,114,"In this operation, everyone has a part to play.",2023,01
147,335787,Uncharted,2022-02-10,"['Action', 'Adventure']",English,7.0,4655,141.184,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",120000000,"['Columbia Pictures', 'Atlas Entertainment', 'PlayStation Productions', 'Arad Productions', 'Studio Babelsberg', 'Deutscher Filmförderfonds', 'Medienboard Berlin-Brandenburg']",401748820,116,Fortune favors the bold.,2022,02
149,438695,Sing 2,2021-12-01,"['Animation', 'Family']",English,8.0,3660,156.662,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",85000000,"['Universal Pictures', 'Illumination']",406000000,110,Where will your dreams take you?,2021,12
157,717728,Jeepers Creepers: Reborn,2022-09-15,"['Horror', 'Thriller', 'Mystery']",English,5.7,761,154.246,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",5000000,"['Orwo Studios (US)', 'Screen Media Films', 'Black Hangar Studios']",5954938,88,Evil's Back. For More.,2022,09
161,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,"['Adventure', 'Family', 'Fantasy']",English,7.1,9510,152.756,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",180000000,"['Walt Disney Pictures', 'Walden Media', 'C.S. Lewis Company']",745013115,143,Evil Has Reigned For 100 Years...,2005,12
162,11849,Dungeons & Dragons,2000-12-08,"['Drama', 'Adventure', 'Fantasy']",English,4.3,523,128.766,"The Empire of Izmer is a divided land: elite magicians called “mages” rule while lowly commoners are powerless. When Empress Savina vows to bring equality and prosperity to her land, the evil mage Profion plots to depose her.",35000000,"['New Line Cinema', 'Silver Pictures', 'Sweetpea Entertainment', 'Behaviour Worldwide', 'MDP Worldwide', 'Stillking Films']",15185241,107,This is no game,2000,12
163,808,Shrek,2001-05-18,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",English,7.7,15254,152.468,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",60000000,"['DreamWorks Pictures', 'Pacific Data Images', 'DreamWorks Animation']",487853320,90,The greatest fairy tale never told.,2001,05
167,337339,The Fate of the Furious,2017-04-12,"['Action', 'Crime', 'Thriller']",English,6.9,9445,161.934,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",250000000,"['Original Film', 'One Race', 'Universal Pictures']",1236005118,136,Family no more.,2017,04
168,168259,Furious 7,2015-04-01,"['Action', 'Thriller', 'Crime']",English,7.2,9693,150.018,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,190000000,"['Original Film', 'One Race', 'Universal Pictures']",1515341399,137,Vengeance hits home,2015,04
172,245891,John Wick,2014-10-22,"['Action', 'Thriller']",English,7.4,17279,129.839,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,20000000,"['87Eleven', 'DefyNite Films', 'MJW Films', 'Thunder Road']",88761661,101,Don't set him off.,2014,10
176,324786,Hacksaw Ridge,2016-10-07,"['Drama', 'History', 'War']",English,8.2,12221,121.525,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",40000000,"['Vendian Entertainment', 'Summit Entertainment', 'Cross Creek Pictures', 'IM Global', 'Screen Australia', 'Screen NSW', 'Permut Presentations', 'Pandemonium', 'Demarest Films', 'Lionsgate']",175302354,139,One of the greatest heroes in American history never fired a bullet.,2016,10
179,265712,Stand by Me Doraemon,2014-08-08,"['Animation', 'Family', 'Science Fiction', 'Fantasy']",Japanese,7.3,417,235.204,Sewashi and Doraemon find themselves way back in time and meet Nobita. It is up to Doraemon to take care of Nobita or else he will not return to the present.,35000000,"['TOHO', 'Shirogumi', 'Robot Communications', 'Shin-Ei Animation']",83061158,90,Is Doraemon ending this summer?,2014,08
183,718930,Bullet Train,2022-07-03,"['Action', 'Comedy', 'Thriller']",English,7.5,4129,142.578,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",90000000,"['87North Productions', 'Columbia Pictures']",239268602,126,The end of the line is just the beginning.,2022,07
