,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
1137,71552,American Reunion,2012-04-04,['Comedy'],English,6.3,4035,42.655,"The characters we met a little more than a decade ago return to East Great Falls for their high-school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t, and that time and distance can’t break the bonds of friendship.",50000000,['Universal Pictures'],234989584,113,Save the best piece for last.,2012,04
1138,60304,Hansel & Gretel: Witch Hunters,2013-01-17,"['Fantasy', 'Horror', 'Action']",English,6.0,6197,40.653,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",50000000,"['Paramount', 'MTV Films', 'Gary Sanchez Productions', 'Studio Babelsberg', 'Metro-Goldwyn-Mayer', 'Deutscher Filmförderfonds']",226349749,88,Classic tale. New twist.,2013,01
1140,4257,Scary Movie 4,2006-04-12,['Comedy'],English,5.5,2882,39.535,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",45000000,"['Dimension Films', '415 Project', 'Brad Grey Pictures', 'Scary Movie 4', 'Miramax']",178262620,83,Bury the grudge. Burn the village.  See the saw.,2006,04
1142,10196,The Last Airbender,2010-06-30,"['Action', 'Adventure', 'Fantasy']",English,4.7,3585,36.621,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",150000000,"['Paramount', 'Nickelodeon Movies', 'Blinding Edge Pictures', 'Industrial Light & Magic', 'The Kennedy/Marshall Company']",319713881,103,"Four nations, one destiny.",2010,06
1145,9769,Lolita,1997-09-27,['Drama'],English,7.1,1503,49.595,Urbane professor Humbert Humbert marries a New England widow to be near her nymphet daughter.,62000000,"['Pathé', 'Lolita Productions']",1071255,137,A forbidden love. An unthinkable attraction. The ultimate price.,1997,09
1153,81188,Rise of the Guardians,2012-11-21,"['Family', 'Animation', 'Fantasy', 'Action', 'Adventure']",English,7.4,6062,43.208,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",145000000,"['DreamWorks Animation', 'Paramount']",306941670,97,You better believe.,2012,11
1155,7214,Coach Carter,2005-01-14,"['Drama', 'History']",English,7.6,2488,34.204,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",30000000,"['Paramount', 'MTV Films', 'Tollin/Robbins Productions']",76669806,136,It begins on the street. It ends here.,2005,01
1159,23483,Kick-Ass,2010-03-22,"['Action', 'Crime']",English,7.1,10748,37.951,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",28000000,"['Marv Films', 'Lionsgate', 'Plan B Entertainment', 'Mandate International']",96188903,117,Shut up. Kick-Ass.,2010,03
1161,49018,Insidious,2010-09-13,"['Horror', 'Thriller']",English,6.9,6003,48.597,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",1500000,"['FilmDistrict', 'Stage 6 Films', 'Alliance Films', 'IM Global', 'Haunted Movies', 'Blumhouse Productions']",99870886,103,It's not the House that's Haunted.,2010,09
1163,71676,Ghost Rider: Spirit of Vengeance,2011-12-10,"['Action', 'Fantasy', 'Thriller']",English,5.0,3427,36.674,"When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.",57000000,"['Columbia Pictures', 'Marvel Entertainment', 'Crystal Sky Pictures', 'Michael De Luca Productions', 'Hyde Park Films', 'Arad Productions']",132563930,96,He rides again.,2011,12
1166,1813,The Devil's Advocate,1997-10-17,"['Drama', 'Mystery', 'Thriller', 'Horror']",English,7.5,5219,40.215,"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.",57000000,"['Monarchy Enterprises B.V.', 'Regency Enterprises', 'Kopelson Entertainment', 'New Regency Pictures', 'Taurus Film', 'Warner Bros. Pictures']",152944660,144,Evil has its winning ways.,1997,10
1168,490132,Green Book,2018-11-16,"['Drama', 'Comedy']",English,8.2,10073,39.573,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",23000000,"['Participant', 'DreamWorks Pictures', 'Cinetic Media']",319700000,130,Inspired by a True Friendship,2018,11
1169,246655,X-Men: Apocalypse,2016-05-18,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",English,6.5,11947,42.116,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",178000000,"[""The Donners' Company"", 'Bad Hat Harry Productions', 'Genre Films', 'Hutch Parker Entertainment', '20th Century Fox']",543934787,144,Only the strong will survive.,2016,05
1172,59440,Warrior,2011-09-09,"['Drama', 'Action']",English,7.8,4030,43.256,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",25000000,"['Lionsgate', 'Mimran Schur Pictures', 'Solaris Film', 'Filmtribe']",23308615,140,Family is worth fighting for.,2011,09
1173,4256,Scary Movie 3,2003-10-24,['Comedy'],English,6.0,3619,39.754,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.",48000000,"['Brad Grey Pictures', 'Dimension Films']",220673217,84,Great trilogies come in threes.,2003,10
1174,116711,Epic,2013-05-15,"['Animation', 'Adventure', 'Family', 'Fantasy']",English,6.5,2480,40.652,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,100000000,"['Blue Sky Studios', '20th Century Fox Animation', '20th Century Fox']",268426634,102,Discover a world beyond your imagination.,2013,05
1175,276907,Legend,2015-09-09,"['Crime', 'Thriller']",English,7.0,3420,39.344,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",25000000,"['Working Title Films', 'Cross Creek Pictures', 'Anton Capital Entertainment (ACE)', 'StudioCanal', 'Canal+', 'Universal Pictures']",42972994,132,"Love, fight, live, rule like a legend.",2015,09
1176,637,Life Is Beautiful,1997-12-20,"['Comedy', 'Drama']",Italian,8.5,11862,43.226,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,20000000,['Melampo Cinematografica'],230098753,116,"An unforgettable fable that proves love, family and imagination conquer all.",1997,12
